model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_BAG_L2_FULL,-0.041783112366151995,,root_mean_squared_error,0.7015349864959717,,158.6027340888977,0.0118255615234375,,1.6140601634979248,2,True,33
ExtraTrees_BAG_L2,-0.04179682552247899,-0.04362622246031911,root_mean_squared_error,4.739480495452881,4.494543790817261,2511.6943712234497,0.22296690940856934,0.4825472831726074,1.5922818183898926,2,True,14
LightGBM_BAG_L1,-0.042603370139316366,-0.04586416342645305,root_mean_squared_error,0.8318665027618408,0.6771166324615479,56.07816791534424,0.8318665027618408,0.6771166324615479,56.07816791534424,1,True,1
LightGBM_BAG_L1_FULL,-0.04294097740765609,,root_mean_squared_error,0.06194281578063965,,3.378995180130005,0.06194281578063965,,3.378995180130005,1,True,25
LightGBM_BAG_L3_FULL,-0.04340043813973504,,root_mean_squared_error,1.3140320777893066,,243.6363799571991,0.010089397430419922,,1.381875991821289,3,True,41
LightGBM_2_BAG_L1_FULL,-0.0441730078639827,,root_mean_squared_error,0.15676045417785645,,11.446252822875977,0.15676045417785645,,11.446252822875977,1,True,26
LightGBM_2_BAG_L1,-0.0446162007262101,-0.04779934041174489,root_mean_squared_error,2.5225021839141846,1.8056118488311768,184.54736852645874,2.5225021839141846,1.8056118488311768,184.54736852645874,1,True,2
NeuralNetTorch_BAG_L1,-0.04523760903297556,-0.0462726702234437,root_mean_squared_error,0.4988584518432617,0.3634953498840332,1151.152639389038,0.4988584518432617,0.3634953498840332,1151.152639389038,1,True,7
NeuralNetTorch_BAG_L2_FULL,-0.04608830151046712,,root_mean_squared_error,0.7249143123626709,,188.08901143074036,0.03520488739013672,,31.100337505340576,2,True,39
RandomForest_BAG_L1_FULL,-0.04817262997227138,,root_mean_squared_error,0.20319676399230957,0.46167421340942383,1.6869871616363525,0.20319676399230957,0.46167421340942383,1.6869871616363525,1,True,27
RandomForest_BAG_L1,-0.04817262997227138,-0.05416069295745159,root_mean_squared_error,0.20560693740844727,0.46167421340942383,1.6869871616363525,0.20560693740844727,0.46167421340942383,1.6869871616363525,1,True,3
NeuralNetTorch_BAG_L1_FULL,-0.04916213637414117,,root_mean_squared_error,0.03229236602783203,,68.10455203056335,0.03229236602783203,,68.10455203056335,1,True,31
CatBoost_2_BAG_L1_FULL,-0.04920388005450916,,root_mean_squared_error,0.010424375534057617,,57.74624490737915,0.010424375534057617,,57.74624490737915,1,True,29
CatBoost_BAG_L1_FULL,-0.04934866252358361,,root_mean_squared_error,0.007242441177368164,,13.077933311462402,0.007242441177368164,,13.077933311462402,1,True,28
CatBoost_BAG_L1,-0.04936375565954257,-0.05518059003502847,root_mean_squared_error,0.08401870727539062,0.09586834907531738,208.2200973033905,0.08401870727539062,0.09586834907531738,208.2200973033905,1,True,4
CatBoost_2_BAG_L1,-0.04967722565116284,-0.0558632865558,root_mean_squared_error,0.16173291206359863,0.14109420776367188,906.8691205978394,0.16173291206359863,0.14109420776367188,906.8691205978394,1,True,5
ExtraTrees_BAG_L1,-0.049916384747473425,-0.055782802019469745,root_mean_squared_error,0.2119278907775879,0.4671359062194824,1.547708511352539,0.2119278907775879,0.4671359062194824,1.547708511352539,1,True,6
ExtraTrees_BAG_L1_FULL,-0.049916384747473425,,root_mean_squared_error,0.2178502082824707,0.4671359062194824,1.547708511352539,0.2178502082824707,0.4671359062194824,1.547708511352539,1,True,30
