northing,easting,scr_no,ohl_length_meter,ohl_progress,engg_kpi_after_rig-off_days,access_road_5,earth_work_60,cellar_20,beam_pump_base_esp_pcp_foundation_5,earthing_1,water_2,hdpe_liner_instalat_4,sleeper_pre_cast_ins_15,cs_pipe_welding_ndt_10_rt_for_op_100_for_60,pe_fussion_pull_20,final_hydro_t_3,mechani_60,days_since_start,start_month,start_quarter,rig_duration_days,days_to_rig_off_exp,week_index,dist_from_centroid,geo_quadrant,geo_angle,loc_prep_composite,progress_lag1,progress_lag2,progress_lag4,progress_velocity_1w,progress_velocity_2w,progress_accel,progress_rolling3w,remaining_to_complete,momentum_score,rig_no_te,rig_no_cnt,project_id_te,project_id_cnt,project_code_te,project_code_cnt,well_type_te,well_type_cnt,completion_type_rig_fbu_or_rsr_hoist_te,completion_type_rig_fbu_or_rsr_hoist_cnt,week_hist_mean,week_hist_std,rig_no_enc,well_type_enc,project_code_enc,project_name_enc,fl_dia_enc,completion_type_rig_fbu_or_rsr_hoist_enc,flow_line_const._status_in_progress_completed_enc,physical_tie_in_port_available_when_flaf_issued_enc,location_preparation_status_in_progress_completed_enc,target_lead_4w
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,30,15,31358.42594943821,0,0.0,0.115,0.59,0.59,0.59,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.59,0.41000000000000003,0.010000000000000009,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39643203883495143,0.36125307430001213,13,6,0,0,3,6,3,2,3,0.63
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,29,16,31358.42594943821,0,0.0,0.115,0.6,0.59,0.59,0.0,0.010000000000000009,-0.010000000000000009,0.5933333333333334,0.4,0.0010000000000000009,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.38242358078602623,0.35829406716753814,13,6,0,0,3,6,3,2,3,0.64
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,28,17,31358.42594943821,0,0.0,0.115,0.6,0.6,0.59,0.030000000000000027,0.030000000000000027,0.020000000000000018,0.5966666666666667,0.4,0.028000000000000025,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3882289416846652,0.3591179301176627,13,6,0,0,3,6,3,2,3,0.64
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,27,18,31358.42594943821,0,0.0,0.115,0.63,0.6,0.59,0.0,0.030000000000000027,-0.030000000000000027,0.61,0.37,0.0030000000000000027,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39290393013100433,0.3598791365702775,13,6,0,0,3,6,3,2,3,0.64
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,26,19,31358.42594943821,0,0.0,0.115,0.63,0.63,0.6,0.0,0.0,-0.030000000000000027,0.62,0.37,-0.006000000000000005,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.4001508620689655,0.3631232690271644,13,6,0,0,3,6,3,2,3,0.64
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,112,4,31358.42594943821,0,0.0,0.0,0.18,0.17,0.16,0.0,0.0,0.0,0.17,1.0,0.0,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3537037037037037,0.35251656952997146,13,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,111,5,31358.42594943821,0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3407894736842105,0.3516048832733822,13,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,108,6,31358.42594943821,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34020089285714283,0.3497153905769088,13,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,106,8,31358.42594943821,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3599762470308789,0.352857383042762,13,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,104,10,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5369077306733168,401,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3640049751243781,0.3559212414983828,13,6,0,0,3,6,3,2,3,0.0
