northing,easting,scr_no,ohl_length_meter,ohl_progress,engg_kpi_after_rig-off_days,access_road_5,earth_work_60,cellar_20,beam_pump_base_esp_pcp_foundation_5,earthing_1,water_2,hdpe_liner_instalat_4,sleeper_pre_cast_ins_15,cs_pipe_welding_ndt_10_rt_for_op_100_for_60,pe_fussion_pull_20,final_hydro_t_3,mechani_60,days_since_start,start_month,start_quarter,rig_duration_days,days_to_rig_off_exp,week_index,dist_from_centroid,geo_quadrant,geo_angle,loc_prep_composite,progress_lag1,progress_lag2,progress_lag4,progress_velocity_1w,progress_velocity_2w,progress_accel,progress_rolling3w,remaining_to_complete,momentum_score,rig_no_te,rig_no_cnt,project_id_te,project_id_cnt,project_code_te,project_code_cnt,well_type_te,well_type_cnt,completion_type_rig_fbu_or_rsr_hoist_te,completion_type_rig_fbu_or_rsr_hoist_cnt,week_hist_mean,week_hist_std,rig_no_enc,well_type_enc,project_code_enc,project_name_enc,fl_dia_enc,completion_type_rig_fbu_or_rsr_hoist_enc,flow_line_const._status_in_progress_completed_enc,physical_tie_in_port_available_when_flaf_issued_enc,location_preparation_status_in_progress_completed_enc,pred
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012828798491549387,0.02027240063112537,0.0,0.0,0.0,0.0,0.0,0.0,0.06851428081060923,0.0,0.0,0.0,0.0,0.07905143472931855,0.14459687098917873,0.015237313195960556,0.010729209062161925,0.0,0.0,0.0,0.07091200712351105,0.13737643937500335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216862752325689,0.0,0.0,0.9977344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012660420596519048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022243769083929527,0.0679169074025629,0.0,0.0,0.0,0.0,0.0,0.026523359403775777,0.04656693195353647,0.0,0.02064914284289794,0.0,0.0016498186656630433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014004615999717585,0.0,0.005145427214842703,0.0,0.0,0.0014105842999867732,0.0,0.0,0.0,0.6226962
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180378855811489,0.0,0.0,0.0,0.008916774953622975,0.06960006229313835,0.0,0.0,0.0,0.0,0.08070803064255734,0.14018502514938144,0.015012934973478652,0.011940545119704278,0.0,0.0,0.0,0.06670528761753831,0.14134997404572167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012547696944009534,0.0,0.0,0.0,0.0,0.0,0.0,0.9952995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006041267884973996,0.0,0.0,0.0,-0.011843544517592921,0.0,0.0,0.0,0.0,0.0,0.0,-0.04984395857276534,0.0,0.0,0.0,0.0,-0.05161533515490918,-0.11638413047848026,-0.010747352701412815,-0.006359840320363475,0.0,0.0,0.0,-0.043713131071696346,-0.09272384919067893,0.0,-0.004596782777517294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226602
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019470569796284202,0.0,0.0,0.0,0.0,0.0,-0.007456341227456935,0.0,0.0,0.0,0.0,-0.042635171980975814,0.0,0.0,0.0,0.0,0.006971329097408927,0.02601502939056144,0.0,0.0,0.0032238688983996875,0.0,0.0,0.005450866920849354,0.0052268211897751014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041550867308311045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01506087001216868,0.4218906
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041014309768058914,0.0,0.0,0.0,0.0,-0.0310981779113124,0.04112557060401992,0.0,0.0,0.011317709219793895,0.0,0.0,0.0,0.011082464754945362,0.013585616132620429,0.0,-0.022060157985224888,-0.015620737171586239,0.0,0.0,0.0,0.0,0.0,0.0,-0.020939776082106013,0.0,0.0,0.0,0.0,-0.01603654353262808,0.0,0.0,0.0,0.0,0.0,0.0,0.42889968
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016511101267523958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023680097191789946,0.0,0.0,0.0,0.0,0.04185693565064875,0.07156304939517018,0.0,0.0,0.0,0.0,-0.014817373978982999,0.008655366848400644,0.045299680655883565,0.0,0.0,0.0,0.006952395138243335,0.0,0.0,0.0,0.0,0.0,0.0,0.003910873878101545,0.0,0.0,0.0,0.0,0.008599276223332442,0.0,0.0,0.0,0.0,0.0,0.0,0.5813806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014191251392602305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029986551375154477,0.0,0.0,0.0,0.0,0.038053989634799515,0.062195694407423716,0.0,0.0,0.0,0.0,0.0,0.007101729793923637,0.052656289518300294,-0.01524341037174018,0.016431632259454224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005288018968571429,0.0,0.0,0.0,0.0,0.0075689190393629585,0.0,0.0,0.0,0.0,0.0,0.0,0.57478696
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05257620513448588,-0.1293756816245165,-0.017011010200098816,-0.010683899065388636,0.0,0.0,0.0,-0.06039811565855482,-0.08448131216929622,0.0,-0.01740796842406011,0.0,-0.018040949347181603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010562448543791668,0.0,0.0,-0.015829978355608534,0.0,0.0,0.0,0.00016182929
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010195894134038782,0.0,0.0,0.027923655604707238,0.0,0.0,0.0,0.0,0.054813641700253185,0.0,0.0,0.0,0.0,0.07583723193101204,0.10706214004746557,0.008064244279635192,0.007156374947858979,0.0,0.0,0.0,0.04397916965055287,0.09373016484793564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008151886448485756,0.0,0.0,0.0,0.0,0.0,0.0,0.8534438
